year,baseline,no_migration,difference
2026,0.0985074626865671,0.1014925373134328,-0.0029850746268657025
2027,0.1021021021021021,0.10173280146838334,0.000369300633718761
2028,0.10534289946054651,0.10128501629408884,0.004057883166457665
2029,0.10711512218770755,0.10222862949920825,0.004886492688499305
2030,0.11003050208539235,0.10268392044092975,0.007346581644462599
2031,0.11235961360637045,0.1037659820858837,0.008593631520486755
2032,0.1158215661103979,0.1045115332428765,0.0113100328675214
2033,0.11877349624060149,0.10481990061867444,0.01395359562192705
2034,0.121602440788738,0.1052634101338317,0.0163390306549063
2035,0.12463663028070104,0.1063234165318048,0.018313213748896245
2036,0.1283212992225887,0.10672740769120245,0.021593891531386245
2037,0.1319340329835082,0.10871229775617544,0.023221735227332757
2038,0.1344748192536812,0.1091772151898734,0.025297604063807808
2039,0.13702367739548643,0.10942122781065085,0.027602449584835584
2040,0.13997103807864997,0.11025968996796409,0.029711348110685876
2041,0.1426495016611295,0.1106059054366699,0.0320435962244596
2042,0.14560302660739335,0.1115513559122581,0.03405167069513526
2043,0.14855301062804765,0.11234205341204685,0.0362109572160008
2044,0.15180553564368904,0.11294525000985059,0.03886028563383845
2045,0.1540741586454015,0.11354905654823225,0.04052510209716925
2046,0.1583228656162068,0.11419501339294699,0.044127852223259795
2047,0.1605100393387452,0.11538817433145179,0.0451218650072934
2048,0.1640497130800023,0.11580450549531296,0.04824520758468934
2049,0.1671712129261545,0.11618624536557665,0.050984967560577854
2050,0.17119445085149726,0.11727717453068975,0.053917276320807506
2051,0.173881898939216,0.11764737293181285,0.05623452600740314
2052,0.1767315423976608,0.11889418038549805,0.05783736201216276
2053,0.1807411374291082,0.11968104366898061,0.06106009376012758
2054,0.18374026139895266,0.1207971103849394,0.06294315101401327
2055,0.18759750101659825,0.12020239210960855,0.0673951089069897
2056,0.19001171327155894,0.1218893153398539,0.06812239793170505
